representation,functional_group,positive_count,positive_rate,test_accuracy,test_balanced_accuracy,test_auc
r_molecule,Alcohol_Hydroxyl,45,0.17578125,0.9375,0.7769423558897243,0.9398496240601504
r_molecule,Ether,38,0.1484375,0.859375,0.5,0.7717171717171717
r_molecule,Amide,33,0.12890625,0.84375,0.5407407407407407,0.8851851851851852
r_molecule,Nitrile,28,0.109375,0.921875,0.6083333333333334,0.8333333333333334
r_molecule,Ketone,16,0.0625,0.953125,0.5,0.7814207650273224
r_type_context,Alcohol_Hydroxyl,45,0.17578125,0.9375,0.7769423558897243,0.9398496240601504
r_type_context,Ether,38,0.1484375,0.859375,0.5,0.7555555555555555
r_type_context,Amide,33,0.12890625,0.84375,0.5407407407407407,0.8759259259259259
r_type_context,Nitrile,28,0.109375,0.921875,0.6083333333333334,0.8083333333333333
r_type_context,Ketone,16,0.0625,0.953125,0.5,0.7103825136612022
